symbol	Ratio L/H normalized S1.1	Ratio L/H normalized S1.2	Ratio L/H normalized S1.3	Ratio L/H normalized S1.4	Ratio L/H normalized S1.W	Ratio L/H normalized S1.X	Ratio L/H normalized S1.Y	Ratio L/H normalized S1.Z	Ratio L/H normalized S2.1	Ratio L/H normalized S2.2	Ratio L/H normalized S2.3	Ratio L/H normalized S2.4	Ratio L/H normalized S2.W	Ratio L/H normalized S2.X	Ratio L/H normalized S2.Y	Ratio L/H normalized S2.Z	Ratio L/H normalized S3.1	Ratio L/H normalized S3.2	Ratio L/H normalized S3.3	Ratio L/H normalized S3.4	Ratio L/H normalized S3.W	Ratio L/H normalized S3.X	Ratio L/H normalized S3.Y	Ratio L/H normalized S3.Z	Ratio L/H normalized S4.1	Ratio L/H normalized S4.2	Ratio L/H normalized S4.3	Ratio L/H normalized S4.4	Ratio L/H normalized S4.W	Ratio L/H normalized S4.X	Ratio L/H normalized S4.Y	Ratio L/H normalized S4.Z	Ratio L/H normalized S8.1	Ratio L/H normalized S8.2	Ratio L/H normalized S8.3	Ratio L/H normalized S8.4	Ratio L/H normalized S8.W	Ratio L/H normalized S8.X	Ratio L/H normalized S8.Y	Ratio L/H normalized S8.Z	Ratio L/H normalized S9.1	Ratio L/H normalized S9.2	Ratio L/H normalized S9.3	Ratio L/H normalized S9.4	Ratio L/H normalized S9.W	Ratio L/H normalized S9.X	Ratio L/H normalized S9.Y	Ratio L/H normalized S9.Z
ABCF3											1.117068811										1.464450465		0.819537781																	1.523948856		1.237271569	1.459364009		1.317852954			
ABHD11																									0.514880033		0.723955694	1.044844736		0.816993464	1.409423405	1.622454774																
ABHD12																				1.041102736				1.551518161																								
"ABHD14A;ACY1"																		0.78167748	1.066405042	1.108610578	0.881367883		0.998801438	1.00974403											0.979431929													
ABHD14B																	0.512978352	0.579979121	0.565995019			0.908182726																		4.157139888								
ABLIM1	1.190107824	1.119532483	1.097658694	0.880436697	0.694444444	1.120812365	0.7525587	0.987556785	1.149927555	1.273382486	1.203456327	1.442169022	0.891821992	0.934492104	0.932661817	1.441628464									1.905342581	1.891897005	1.373833958	1.245717845	1.561792313	1.584484726	1.245267982	1.290272635	1.196272415	1.362843437	1.101697716	1.16522955	0.988142292	1.123898579	0.97191175	0.758265089	1.078143868	0.898149811	0.928850084	0.992851469	1.219066195	1.016353122	1.205095142	1.050905881
ABR																						0.909421608		1.119119029																								
ABRACL				0.632831287	0.78976465					1.118055478	1.817223646			1.394291769	3.120319521	2.878029126				0.839701066	0.869262865	1.221956107	0.679301678	0.630358043	0.894614421		0.959416675	0.628851717		0.851208716	0.9948269	1.199443458		0.573558933	0.579542162	0.600204069		0.855139388	0.815527646	0.831531681	1.055654083	0.950118765	0.99980004	0.976753272	0.861697544	0.928074246	1.066882888	0.959232614
ACAA1																				1.599616092					1.37982421	1.36924404		1.332374024											4.207868714						2.372254116		5.204267499	
ACAA2				0.985804416	1.071225804														0.74985003	1.045095888		0.916674306		0.965996909											1.586571261													
ACACA																	0.622742558		0.696524344	0.915248032	0.787525595	0.768344218	1.080333607	0.924214418							0.924898261	1.113312997																
ACAD9																6.125574273	1.368738024	0.849762067				1.124619035			1.154187971		1.126176855	1.027939393			1.295689242	1.33269364							5.487269535									
ACADM	1.031895902	0.953288847	1.36323359	1.05833545	1.000290084	1.159474063	1.865810881	1.139899917										0.83500334	0.909338911	1.048822697	0.887232721	0.759647524	1.237026683	0.961168781	0.788084167			0.7218653				1.381425355	0.289008988	0.606722485	0.949487277		2.347142354	1.429490387	1.623113131	1.410417342							3.791037986	
ACADVL																	0.916506278	0.742170105	0.915750916	1.135254183	1.012688993	0.959508732	1.492648705	1.325451316	1.15928588	0.997108386	1.388888889	1.392621889	0.399217534	0.864453665	1.313249373	1.47817475	0.394882325	0.861920359	1.597137929		1.584961882	3.533568905	2.29789972	5.503274448		1.090072708						2.523404577
ACAT1	1.169932729	0.997108386	1.392175971	1.131580139	1.09773099	1.081396732	1.439366679	1.177911798									0.747719456	0.898634076	1.071616104	1.138861366	1.051502597	0.934317481	1.070881657	1.098816575	0.95520107	0.964134207	0.871687587	0.884564352	0.315010238	0.666222518	0.797638989	1.256676092	0.32433835	0.740302043	1.3151665	0.747663551	2.976013333	4.138387684	2.588527645	3.602435246				0.681431005		2.026424576	2.489915841	1.944352628
ACAT2	1.234232678	0.853460783	2.112244682	1.28417511	1.115685421	1.217908121											0.421958732	0.550115524	0.741564702	0.846740051	1.154294553	1.051281512	0.899604174	0.854043898	0.832154448	0.758782912	1.036935648	1.230875275	0.324422528	0.81360345	0.903179191	1.145108098	0.820277254	1.178189359	2.471943442	1.399952402	3.376097232	6.131583788	4.127796582	5.241914347		1.538461538	2.069236659	1.105424317	2.069793435	3.201639239	4.259125176	
ACBD3																			1.036366086	1.0357006	0.943218261		1.085799909	1.159151501																								
ACBD7		1.263216402	0.754204691	1.075476974	0.777181938	0.777544514	1.078550859				1.222165188														0.865426222					1.207262894		0.887547706					0.991768323				0.600420294				1.102499366		0.654921737	0.89301661
ACIN1	1.051668472	1.005267602	1.049350976	1.013499818	1.377979881	1.075465408	0.960061444	0.930232558	0.681988679	0.652188091	0.736322804	0.781616383	0.647123536	0.722543353	0.872828838	0.896700143	1.397526378	1.436410124	1.105754346	0.75912852	0.998103603	1.077237962	0.525430853	0.483442108	1.201302212	1.247800751	1.082344792	1.016012355	1.034072695	1.39869921	1.172429156	1.068398897	1.992309685	1.88996617	1.606270882	1.56771756	1.350584803	1.265694613	1.324573487	1.237960831	1.284323547	1.32759811	1.214697844	1.133311423	1.097068633	1.124100719	1.175530164	1.003572719
ACLY	1.18580356	1.144479033	1.828387545	1.256281407	0.876424189	0.936154278	1.450831326	1.043797754		2.265467479		9.473285335	1.558506328			55.04486156	0.775073632	0.694058856	0.890392663	0.976371802	0.951112802	0.986485153	1.095662273	1.09944478	0.86979212	0.602990835	0.856017805	0.916002565	0.236016049	0.531264942	0.770772314	0.823248539	0.61300803	1.830764161	3.314111487	1.640904467	7.500187505	6.601095782	4.273321653	6.477942605	1.054618703	1.827618978	6.187735907	0.916002565	1.638377351	2.979205148	4.015741707	2.887002714
"ACO1;IRP1"																	0.904077389	0.949036728	1.200869429	1.370351084	1.045281599	0.977803853	1.143628275	1.184399095				2.693820376				1.055854714	0.327729165			1.758241758		6.347191368	3.458651818	4.054985605								
ACO2			2.387774594														0.678472081	0.873743993	0.958405214	1.0789698	0.740576168	0.855505176	0.961908426	0.89968511	1.317957166	0.390930414	1.03912298	1.247831892	0.45508328	0.712859994	0.776638708	0.992851469						2.949678485										
"ACOT1;ACOT2"																				1.217092852			1.898577965	1.33255157																								
ACOT7	1.158023948		1.635510197			1.028764248	2.600442075										0.752275634	0.819202097	0.888572952	0.982125319	1.093792726	0.893974611	0.972384286	0.942063118	1.114628383		1.776167386	1.392990472		0.714081691	0.814929509	1.082942572	0.441852245	1.124669628	1.961784439	1.187394619	4.79823425		4.502881844			1.771887237				2.920901975		
ACOT9																						1.139445318	1.430430989	1.296461955			1.288593371																					
ACP1								0.907688118		2.613217655	4.304778304							0.763125763	0.788332676	0.914160344	0.951112802	0.81799591		0.864603147				1.111432192																				
ACSL1																		0.628259094						1.100557983							0.914076782	1.204674136																
ACSL4																				0.788954635			0.989217529	0.865875833																								
"ACTA1;ACTC1;ACTA2;ACTG2"	1.264350377	1.182130909	1.593219259	1.285627965	1.11067918	1.213695338	1.547700118	1.379348396	1.73973556	2.256623189	4.467277195	4.382120947	1.478590017	1.51590947	18.61088364	17.83675799	0.820546484	0.752728641	0.862738331	0.912908527	1.013109639	0.971817298	1.185311618	1.147710318	1.235696809	1.107223526	1.503352476	1.66165401	0.502891627	0.790701352	1.208985178	1.376917357	0.621272366	1.033858878	1.355160451	1.081583871	3.041547539	3.692216807	2.673367909	3.360102147	0.899604174	1.293159188	2.124405167	0.932748811	1.101200308	1.555524445	2.048256933	1.238420766
ACTB	1.239464551	1.149227145	1.468903317	1.157273464	0.949487277	1.056814339	1.666861134	1.439159531	1.838133926	2.821431594	4.163197336	8.757334267	1.477847072	1.688077111	16.16422856	14.7080453	0.722908986	0.698226505	0.846811754	0.901306895	1.005611311	0.97703957	1.179370452	1.158319047	1.195500137	1.01010101	1.467782181	1.621297362	0.376591097	0.668136567	1.135692545	1.347073483	0.477076475	1.179885315	2.010211876	1.132220738	4.555393586	6.414368185	4.061903408	5.490885131	0.869036239	2.032974852	3.145049692	1.226286681	1.675378636	2.623845508	3.804595952	1.913619228
ACTBL2																		0.841184388	0.932922847		0.99980004	0.735402265	1.143053095	1.206141673				1.582528881		0.579441418		1.53900611		1.177066045	2.959893444													
ACTL6A		0.991768323	1.327844908	1.019825406	1.517128379		1.290172754	1.322523905										1.066905654	0.902608539		0.92945441	1.156523952	0.767165324	0.984833563			1.74437874																					
ACTN1	1.488139528	1.305125227			1.153030163	1.345116554		1.550579917									0.801796023	0.748895379	0.837030217	0.961815908	0.96070708	0.992950055	1.079540548	1.073641039	1.125986646	1.043677921	1.312422075	1.476167279	0.327310814	0.627588804	0.962463908	1.07850433	0.422047776	0.9046499	1.690245593	1.03329269	3.621876132	5.997720866	3.807058286	5.565139963	0.523121992	1.372231523	1.614804528	0.919793966	1.59854213	1.813828629	2.699419625	1.686596617
ACTN4	0.932922847	0.854846982	1.344158288	0.982028872	0.962371283	1.068901383	1.412988187	1.061616205	3.826872297	2.967094917	9.678668215	12.38927089	3.955226832	3.288500115	45.93266272	51.70898185	0.851353652	0.775855381	0.856457691	0.938526513	0.867528412	0.927471712	0.911992704	0.915248032	1.007871476	0.957212597	1.23342584	1.267266506	0.40096231	0.615460364	0.954198473	1.017956757	0.506482982	0.920386562	1.305636432	0.950028501	2.55316976	4.080799837	2.809146581	3.571045959	0.616218881	0.996611521	1.282528119	0.728703636	1.086708469	1.4361832	1.788780767	1.102146982
ACTR1A	0.969743988	1.052343569		1.466555208	0.880204207	1.044102907	1.386443357	1.434699646									0.80224629	0.712555223	0.807884957	0.916842395	0.923616884	0.884564352	0.98804466	1.054596459	0.927902014	0.841609157	1.10314396	2.081208766		0.692808646	1.078108997	1.446947664	0.328439584	0.989021857	2.474573755	1.228259802	3.581533613	6.264094212	3.145445395	5.173573387								
ACTR2																	0.863408738	0.878580214	0.868281671	1.007252216	0.976467142	0.923446302	1.160187022	1.051734837	0.993443274		1.176789013	1.013777233	0.436471564	0.681013348	1.042415903	0.909008272	0.697593303		1.467588312	1.209540858	3.268401098	5.29773257	3.871617174	4.152134197								
ACTR3																	0.705766109	0.706813684	0.858516484	1.028997139	0.900495272	0.812545706	1.216900312	1.062191301	0.902608539	0.806776926	1.118380585	1.217848792	0.34371348	0.606832939	1.073214707	1.342930812		1.231026799	1.902261789	1.055486949		4.583161465	3.633852974	5.139802632								
ADA																									0.881678716	0.864378944	0.93694369	0.887232721	0.567665758	0.961076406	0.721448669	0.798785846		0.71999424						2.636505049								
ADAM10											1.954652072	1.735990556	1.847370268				1.140393892	1.080415312	0.902364194	1.339118324		0.947508054																										
ADAM17																		2.709366279		1.647609319	1.398914442	1.357330944	1.230587482										2.826935037								1.481042654	1.578631642						1.954231889
ADAM9									1.996844985	1.410138899	1.092537966			1.848941481	1.349964901	1.099082266																																
ADAR			0.923616884		0.935628743	1.0315872	1.171454009	0.716743119	0.600060006	0.720046083	0.881057269	0.958221541	0.686388908	0.725584095	1.992786114	1.485552997			0.600564531			1.165501166	1.210126337	1.172937975	0.970308558	0.865351333	0.802310655	1.342263862		0.89206066	1.018029299	0.870397772	0.664672649	0.944911651	1.08376413	0.970685304	1.101418627	1.258669083	1.072006689	1.088707921	0.995916741	1.030481647	0.85785365	0.870473538	1.194700309	1.003502223	0.910415149	0.766871166
ADCK3	0.365617345	0.527843758	0.447027269	0.503879875	0.550751776	0.668002672	0.42064527	0.512873115																																								
ADD1								1.374740518															0.816926722				1.475862273	1.854324284		1.103241323	2.530492434													1.246307813	1.322926313		1.664170411	1.448498631
ADD2		0.945626478					0.908347716	0.881367883																																								
ADD3							0.82863772	0.457624016	1.153695286	1.665389868	1.845392976	2.055582963	2.308988894	1.391536674	2.706286704	1.675743611									0.81109579	1.036301647		0.754261578	1.034500595	1.265230209	1.06096293										1.072363059	1.117930487	1.155348106	1.042491973	1.708146149	1.384025577	1.637867497	1.601434886
ADH5	0.903668896	0.903750565	1.236369031	0.739699682	0.840901446	0.837030217	1.149887886	1.06988488									1.525646111	0.823994726	0.903179191	1.102742521	0.84666836	0.780031201	0.874814102	1.094606872	0.840477391		0.835421888				0.751936236	0.817929004	0.363662812	0.924214418	1.323872061	0.964599209	3.0756928	3.757562094	2.830215379	3.537819288			2.959893444				4.046780786	
ADI1	1.061221891	0.607976654	0.649097754		0.615271027	0.700378204	0.838293235	0.901225667	2.108147992		4.634135039	3.941508021		2.107881368	14.39449554	14.69874914	0.814597589		0.784436774		0.970968055	0.98000784	0.717102904		1.225430126	1.173323321	1.895590856	1.211988995	0.753238927	0.695313586	0.945984297	0.938967136					0.992950055				0.688847558	0.923190547	0.891424496	0.677966102	0.951837045	1.137151889	1.252913023	1.146263182
ADIPOR1																																									0.744490768	0.910332271	0.705119165	0.756429652	1.073122572	0.915415599	0.894454383	1.469334979
ADIRF																																	1.598976655	1.402898388	1.279295876	1.438952443	1.009713443	0.921828909	1.085057671	1.152259581	1.285578382	1.23954137	1.386674062	1.434246949	1.525622836	1.527067267	2.030003451	2.299061983
ADK	0.486689054	0.684790796			0.528960592	0.800768738	1.1367124	0.511639806		2.76816609							0.745934656	0.906207522	0.877423883	0.899199712	1.082426801	0.961815908	0.809126952	0.75030012	1.017998208	0.967679505	0.946252839	1.038507872	0.825763832	0.664628473	0.793084305	1.080216908	0.385267376	1.194372119	1.30912328				2.333667826		0.665867626			0.657332545	1.770506896			0.971722865
ADNP																												0.720980534	0.435748834		0.68212824		1.015156283														0.907111756	
ADPRHL2																		0.932748811	0.892777431		1.154307877	0.722700007	0.86565097	0.667868831								1.057104801								3.690173069								
ADRM1	1.179161852	1.163399453		1.089004323	1.09795999	1.043242397	1.022463524	1.115113128	1.150562625	1.215317866		1.653685238	1.190490363	1.091095569	2.195486081						1.218546274	1.087819683		0.89493467	0.947867299	0.82088327	0.943930527	1.070136763	0.797066794	1.106708869	1.126240272		1.215495132	1.495260026	1.363010618	1.273317629	1.470891066	1.731122113	1.456706678	1.606322485	1.09749004	1.254799609	1.182256692	1.148329754	1.04827297	0.85733882	0.9273857	0.91861106
ADSL		1.286901912	1.419164396				1.373022847										0.545672815	0.731261426	0.912325518	1.159138065	1.063660054	0.972006221	1.278020602	1.217359547	1.020949892	0.86986778	1.246447624	1.208459215	0.410138627	0.731047591	0.966183575	1.070148216	0.492538049		2.092969715		4.748112625	2.50325423	3.866976025	4.475073839								
ADSS	1.161737029	0.945000945		0.80237503	0.749962502												0.646412411	1.000090008	0.902853016			1.040344562	0.77960552		0.923616884	0.832778148	0.983284169		0.500075011	0.644703759	0.570092925	0.739316871										1.212003684	2.298744885		1.097996157	1.549786904		1.573712703
AFAP1L2																									1.364051779		0.866551127																					
AFF4	0.610910868		0.9829942					0.567891419	0.614779294	0.583328472	0.535963126	0.479294479	0.814398567	0.47218812	0.620732464						0.66190098	0.883392226			1.808220169	1.650737054	1.477912596	1.281558375	1.559259664	1.935096852	2.196305814	1.945790283	1.738858266	1.426594576	0.997108386	0.911909539					1.038065876	1.387616907	1.204717674	1.351022724	0.963669654	0.77778642	0.910083728	0.785114234
AFG3L2							0.557631183																	1.203789529																							1.127929798	
AFTPH	1.54304319	1.356097693	1.097863558	1.134108307	0.978569332	1.303577015	1.174798228	1.250640953		2.190004818	6.88847558	2.740777284	3.344369754	1.925743337	2.510670349	1.726698208										1.040236342	0.645786245		1.093075368	1.050950059	1.316950469	0.907276356	0.738716111	0.831669993	0.961076406	0.79101408	1.09690016	1.002184763	0.9046499	1.24828361	0.781983109	0.754489211	0.704126179	0.797130331	0.963948332	1.141826237	1.20587987	1.161413208
AGFG1	0.674900452		0.965530559		0.882378893			0.465137913	1.251909161	1.393708798	1.431331854	1.250203158	1.487364836	1.339243863	1.167228882	1.155414852	1.062891277	1.296966396	0.84645336	0.81645983	0.897504936	0.849834282	0.338684549	0.421389743	1.613423685	1.461261946	1.150880424	1.199774442	1.545786187	1.5625	1.290805592	1.280622895	1.007973067	0.965064659				1.401148942	1.215835036	1.140419903	1.369656627	0.863036161	0.965903603	0.889046942	0.993245928	1.065984437	1.196057794	1.046353458
AGPS																		0.693673696			0.888257239	0.725215752	1.126037362	1.25089126																								
AGR2									1.059097649	0.958037938	1.433856213	1.453826471	1.203398397	0.963762529	5.781349367	5.214308061																									0.847242227	0.890630566	1.229800526	0.945000945	0.679855871	0.728332119	0.987751877	0.929195317
AGRN										1.801671952				1.499925004	4.456526583	3.378264248	1.626571675	2.068252327	1.322943815	1.08715741	1.758736524	2.226973098	0.857927248	0.861697544	1.595252528	1.356134474	1.372664754	1.542495758	0.967305088	1.038615733	1.141904468	0.974658869													2.390857361			
AHCTF1	0.717978173	0.773574689	0.674127006	0.685213101	0.889600569	0.831877548	0.668672685	0.775434243	0.888572952	0.897746656	0.955474871	0.944733113	0.711288143	0.863036161	0.761382671	1.020981163	1.002908434	1.297218763	0.925240563	0.746268657	0.942595909	1.033057851	0.690941754	0.446508305	0.723850887	0.92755774	0.690655432	0.563507269	0.84324142	1.176858259	0.85719184	0.801988933	1.070090958	1.399266784	1.69546125	1.401090048	1.380834024	1.421060111	1.285776738	1.446382597	1.090108357	0.815993472	0.922253989	0.855358823	1.002807862	0.976181179	0.827883103	0.811293201
AHCY	1.070686738	1.163575435	1.483789599	1.081572173	0.928850084	1.198106991	1.611525631	1.271714526		4.607233356	6.434178355		2.424301195	2.799160252	22.34187538	50.91390459	0.701902155	0.711186971	0.834167501	0.89509488	0.905879156	0.905223138	0.930405657	0.926354794	0.854408749	0.640656032	0.962741889	1.086850199	0.295752987	0.565099458	0.763009309	0.954289531	0.427734291	1.067760053	1.798690553	0.973709834	3.547105562	5.19642486	3.739296264	5.5285272	1.032215444	1.801899202	4.160426028	1.033880256	1.319800974	2.562131694	2.999670036	1.852675263
AHCYL1																				0.837030217			0.796749263												1.13163136						0.679624847	0.797702616	0.74906367		0.747049156		0.852733009	0.765052406
AHCYL2	0.473619399	0.539432517	0.603427468	0.577167263	0.717669011																																											
AHNAK	1.580677795	0.60132291	1.343562321	1.028045069	1.730373242	0.99990001	0.606575276	0.935278713	0.87535014	0.873667657	0.80211759	0.805996615	0.793524837	0.805282654	0.494535384	0.496770989	0.714234698	0.949126803	0.673854447	0.42662116	0.783085356	0.909090909	0.361454493	0.318928401	0.65837119	0.730406837	0.587613116	0.512111435	1.005530417	1.004116879	0.927815921	0.827403607	0.819806526	0.832570144	0.71321589	0.797003268	0.823384109	0.88269044	0.732708089	0.81109579	1.304733573	1.066643912	1.138900278	1.239956354	1.120787241	1.115523627	0.947508054	0.898391879
AHNAK2								0.138155895							0.478217206		0.710782572	1.009947988	1.096827974	0.725794745	0.913075237	1.008562697	0.54232876	0.474788719	0.761556622	0.840406757	0.817060217	0.763358779	1.235574666	1.234933808	1.76703421	1.728429204	0.664584303	0.632071298	0.636253738	0.650914535		1.158023948	1.696381618	1.455349866	1.565900941	1.304546344	1.633479802	1.500712839	1.182424443	1.185143047	1.71317949	1.44233543
AHSA1		1.252771758	0.843597098	1.118255521	1.03755966	0.923190547	1.169071056	0.982897582									1.065530101	1.048679712	1.073364461	1.453889882	0.980103891	1.064022217		0.888257239	0.897263347	0.880591758	1.011715667	1.038302998	0.339282079	1.076391505	0.986485153	1.042448503	0.554385187	1.003683519	2.498500899	1.004076551	3.890142379	4.46847491	4.278623995	3.090234858							1.848770568	1.183908318
AIF1L				1.297454394					0.523669879			0.547885163		0.513267977											0.958221541				0.867754252		0.985512959	0.814398567	1.292724546	1.244044139	1.065461984	1.202891752	1.400148416	1.508887346	1.293912143	1.385463715	0.847744998	0.861549065	0.972857282	0.889521437				1.108291126
AIFM1	0.706065099	0.817728351	1.059254708	0.838785439	1.014363386	0.934142924	1.451505211	1.103777125				7.237984945					0.816259897	0.74822297	0.856751199	1.001061125	0.835282325	0.922253989	1.161831511	1.132964742	0.951565325	0.870776733	1.193246226	1.405402367	0.461148259	0.731475386	1.394855772	1.672660366	0.380069173		1.553205039	1.025441196	4.419889503	6.360918517	3.333111126	4.423995753								
AIM1									0.650152786	0.594106464	0.657505424	0.634920635	0.591121357	0.554569654	0.627391932	1.157983719																									0.776036008	0.681988679	0.764292265	0.704870656	0.854700855	0.800897005	0.903587241	0.718958947
AIMP1	0.749906262	0.919117647	0.919286634	0.731154493	0.808146113	0.715819613	0.571591883	0.66529173	0.770831727	0.821355236	1.278347353	1.556226462	0.754261578	0.693144798	3.99920016	3.512962833	1.116071429	1.562573246	1.108119189	1.037570425	1.142569868	1.231254155	1.370275974	0.974089227	0.853315129	0.70308655	0.990785693	0.759936165	0.695458655	0.886760663	1.209204464	0.961076406	0.871839582	1.064611257	0.992950055	0.870322019	1.16512094	1.241187568	1.199227697	1.279623279	1.010764643	1.287398939	1.296226684	1.106623139	0.823248539	0.844095552	0.972668028	
AIP	1.298869983						1.650165017	1.416972497											0.97799511	0.925497455	0.853752241	0.867904878	1.038971833	0.957762666	0.932748811	0.994233446	1.337345369	1.086554969		1.09720104	1.024086515	1.04310093						10.0051026										1.531886211
AJUBA																				0.526038927																								2.179551448		2.513067953		1.88818187
AK1	1.27684568	1.109582353	1.306847883	0.996214385	1.012412173	1.017211214	1.27968878								0.437828371	1.537019105	0.966276935	1.016880212	1.049736516	1.099420605	0.961815908	0.991080278	1.278625222	1.202038658	1.040452805	0.896057348	0.927127758	0.866250866	0.693481276	0.842815002	0.928160386	1.171124748	0.43767507	0.644745326	0.860807437	0.646872372	1.718715089	2.429425198	1.603772072	2.077015744	0.413496527	0.897666068	1.488294563	0.581226388	0.734106592	0.918864284	1.467846816	0.949667616
AK2	0.949126803	0.890234132	1.246261216	0.974184121	0.990883868	1.057775709	1.264270453	1.019336819	1.383278924		2.437062852	4.119973632		0.972573429	9.472387989	18.05510418	0.873286176	0.964971533	1.040257984	1.064294001	0.806451613	0.759359101	0.86888522	0.842743974	0.643293664	0.58312438	0.835073069	0.849978751	0.418462569	0.670600858	0.890789239	1.090203432	0.411624269	0.609644577	0.865276456	0.693914371	1.917655857	2.298956274	1.671625823	1.976362702	0.609830467	0.975895384	1.519710647	0.731689471	1.063942973	1.449464423	1.881149006	1.21945271
AK3																	0.814730324	0.918357976	0.98000784		0.937910336	1.04292687	1.941634468								1.365709759	1.750761581																
AK4		1.008105166	1.01508415				1.235849523											1.474752242		1.491402067	1.10173413	1.331114809	2.416684792	1.297235591	1.018661886	0.718081287	1.069965012	0.916422287	0.610948192	0.92140422	1.242992629	1.382418403	0.386832231	0.805736846	1.45241173	0.7083658	3.147821707	3.58654329	2.551150569	3.748125937								
AKAP12	0.981257973	0.934317481	0.794091956	0.612219909	0.767577525	0.814265939	0.947418285	0.951565325	5.665080444	5.558334723	5.095541401	5.313778628	5.668291577	6.431695395	4.105427375	3.985969388	0.941176471	1.231405773	0.840760047	0.579374276	0.864902266	1.014260503	0.300237187	0.353644305	1.620062858	1.846415185	1.580677795	1.633933532	1.118380585	1.303152325	1.415628539	1.470955974	0.681523887	0.792016474	0.546926274	0.565387007	0.665026269	0.916674306	0.642137032	0.62305296	2.627637491	2.477393782	2.374112675	2.023717975	1.776135839	1.856803327	1.12836252	1.119946243
