Symbol	COLO320DM	UO-31	OVCAR-4	ABC-1	RKO
ADK	-0.965297734	0.104800211	-0.000666402	-2.354342177	0.026679515
ADNP	0	0	0.766920954	0	-1.132199843
ADPRHL2	0	-0.047553996	0	0	0
ADRM1	-0.754035714	0	0.187381273	-0.276179149	-0.040164801
ADSL	0.115494553	0.697966226	0.376658023	0	1.594250034
ADSS	-0.934395775	-0.45294427	-0.452776684	0	0
AFAP1L2	0	0	-0.512450787	0	0
AFF4	0.494132849	0	-0.325945463	-0.238911846	-0.729581254
AFG3L2	0	0	0	0	0
AFTPH	-0.377306601	0	-0.502901368	1.95127533	0.157957972
AGFG1	0.376415528	-0.504986994	-0.387376179	0.019454346	-1.717384136
AGPS	0	-0.727809675	0	0	0
AGR2	0	0	0	0.517604157	0
AGRN	0	-0.616411904	-0.017817785	-1.808503092	0
AHCTF1	-0.133908645	-0.460562332	-0.396972628	0.089167105	0.326526488
AHCY	0.199363807	0.291304324	0.455128814	0.456592053	0.890513171
AHCYL1	0	0.922236189	0	0	1.254625646
AHCYL2	0.220805698	0	0	0	0
AHNAK	0.12021363	-0.595974579	-0.336673811	-0.121175102	-0.129784672
AHNAK2	0	0.082994745	-0.019534076	0	-0.010594671
AHSA1	0.337370882	0.257452308	0.205499296	0	1.168658099
AIF1L	1.412740338	0	-1.068351561	0.041802649	-0.161346336
AIFM1	0.316843149	0.247918909	0.511967774	3.651144508	1.922860461
AIMP1	-0.016152945	-0.320061822	0.169735455	0.832122084	-0.055576525
AIP	-1.414018221	1.665614529	0.330987094	0	0
AJUBA	0	0.461247269	0	0	0
AK1	-0.051299412	0.115971957	-0.110778958	0	0.478069142
AK2	0.27164445	0.195174111	0.458342131	1.961769667	0.610434807
AK3	0	-0.437192514	0	0	0
AK4	0.007676586	0.01347154	0.193762516	0	0.857477709
AKAP12	-0.445861291	-0.613383399	-0.108826308	-0.10863591	-0.405723399
AKAP13	0	-0.143069203	-0.203594826	-1.479943086	1.069826718
AKAP2	0	-0.65647519	-0.391032826	-0.26491417	-0.120103452
AKAP8	-0.551108384	0	-0.438695064	0.18286704	0.128171138
AKAP8L	0	0	0	0	0
AKAP9	0	0	0.437880961	0	0.122398455
AKR1A1	0	0.555855893	0.124135002	0	1.827905941
AKR1B1	0	0.428333418	0.393760072	0	0
AKR1B10	0	0	0	0	0
AKR7A2	0	0.33187631	1.85228066	0	0.630766488
AKT1S1	0.681259243	-0.578762695	-0.175847065	-0.153579605	-0.132778115
ALCAM	-1.135382068	-0.145667473	-0.026925493	0.37006918	-0.277246258
ALDH18A1	0.143509847	0.295596576	0.475638394	2.441363981	1.079039826
ALDH1A1	0.00579112	0	0	0	0
ALDH1B1	0.058768108	0.513805739	0.454619415	0	1.249374099
ALDH2	0.340518481	0.388998437	0.138601751	0	1.067552276
ALDH3A2	0	0.98110182	0	0	0
ALDH4A1	0	1.123066542	0	0	0
ALDH6A1	0	0	0	0	0
ALDH7A1	0.336502335	0.265187094	0.273565438	0	0.634485621
ALDH9A1	-1.494095165	0.32674933	0.291774989	0	1.325030985
ALDOA	0.122052161	0.368722075	0.416316308	1.153134122	0.882062208
ALDOC	0.283365148	0.2538315	0.226328284	0	0.905588546
ALMS1	-0.446672094	0	0	-3.190196661	0.048896948
ALYREF	0.136866497	-0.63429495	-0.331413093	0.180488405	-0.034631252
AMD1	1.660925962	0	0	0	0
AMIGO2	0	-0.280766507	0	0	0
AMOT	2.703693387	0	0	0	0
AMOTL1	0	0	3.441167465	0	0
AMOTL2	0	0	2.76614252	0	1.600931035
AMPD2	-0.372482552	-0.500648166	1.212915548	0	-0.086264678
ANAPC13	-0.77574466	0	-2.01900947	1.852872531	0.494008443
ANAPC16	0.003615732	-1.757243556	-0.733722632	0	0.363098072
ANKHD1	-1.682922208	-0.154540032	1.768538286	0	0.237250743
ANKRD13A	0	0	0	0	0
ANKRD35	0	0	0	0	0
ANLN	-1.234516915	-2.592471293	0.062935132	-1.091433868	-2.778254454
ANP32A	0.006696978	-0.424615472	-0.265476035	0.017993464	-0.127954121
ANP32B	-0.025987371	-0.043339562	0.548741448	0.97427119	0.438292572
ANP32E	0.022257606	-0.409092309	0.001177933	0.180280172	-0.067533201
ANXA1	0.175228631	0.201243595	0.141420231	1.159690499	0.395036867
ANXA11	0	0.014460677	0.190321443	0	0
ANXA3	0	0.219815588	0.38567114	0	0
ANXA4	0	0.204558566	0.269087575	0	1.581805436
ANXA5	0.17079013	0.378078746	0.323288932	1.017337165	0.841045561
ANXA6	0.666521926	0.229561825	0.919584864	0	-1.571626188
ANXA7	0	-0.00081368	0.373208808	-0.820471484	0
AP1B1	0	0	2.087990247	0	0
AP1M1	0	1.194994806	0	0	0
AP2A1	0	0.241181266	0.176241875	-1.571572786	0
AP2A2	0	1.669536284	0	0	0
AP2B1	0	0.286282421	0.976049286	0	0
AP2M1	0	-0.238825958	2.148919324	0	0
AP3B1	0	0	0	0	0
AP3D1	0	0	0	0	0
AP3M1	0	-1.902026057	0	0	0
AP3S1	0	1.232245963	0	0.76964338	-0.752871063
APBB2	0	0	0	1.524316939	0
APC	0	0	0.545939768	0.040079229	0
APEH	0.144273392	0.215584756	0.271873905	0.431522532	0.926367326
APEX1	-0.317765042	-0.039844239	-0.356489625	1.09160914	1.466940775
API5	0.025461141	-0.132218185	0.666192934	1.992945452	0.366074124
APIP	0	0	0	0	0
APLP2	0	0.194913529	1.394797955	2.669108735	0
APMAP	0.161460172	0.369350346	0.696546518	0	2.22529807
APOL2	0	0	0	0	0
APP	0	-0.38732289	-0.108901235	-0.049512168	0.294594
APPL2	0	0	0	0	0
APRT	0.184436898	0.423343193	0.366419293	1.064218674	0.78876098
ARAP1	0	0	0	0	0
ARCN1	1.049918215	-0.127722738	0.429627635	-0.200829214	1.589068677
ARF4	-1.01921142	0.297867592	0.525921351	0	0
ARF5	0.887532229	0.789993399	0.715213818	0	2.258132736
ARFGAP1	-0.178414714	0.286255483	-0.328309444	0.378045738	0.101708908
ARFGAP2	-0.239417044	-0.747356135	-0.590094355	0.401457126	0.153219748
ARFGAP3	-0.724602682	0	-0.053458498	0.309886497	-0.035320876
ARFIP1	0	-0.73652137	0	0.258574547	-2.204016092
ARG2	-0.684559548	0	0	0	0
ARGLU1	0.081886277	0	1.021657801	-0.047682331	-0.206241982
ARHGAP1	0	0.434875681	0.192042887	0	0
ARHGAP17	0	0.927765915	0	0	0
ARHGAP18	-0.061467249	-0.265687931	0	0	0
ARHGAP29	0	0	-0.199929223	0	0
ARHGDIA	0.17291393	0.26649587	-0.261446788	0	0.892604777
ARHGDIB	0	0.015830326	1.216018777	0	0
ARHGEF1	0	-1.972920352	0	0	0
ARHGEF11	0	1.181653029	0	0	0
ARHGEF16	0	0	0.586850088	0.214375998	-0.217589418
ARHGEF18	0	-0.201905349	-0.079605058	0.035139916	0.661655673
ARHGEF2	0	0	0.347770603	0.135434654	0.119129651
ARHGEF5	0	0	-0.230452687	-0.060055148	1.528216421
ARHGEF7	0	0	0	0	0
ARID1A	0.530910739	1.556938821	-1.839261462	0.532370271	0
ARID1B	0	0	0	0	-1.212395867
ARID4B	0	0	0	0	0
ARL2BP	0.425812036	0	0	0	0
ARL3	0	1.679441146	0	0	0
ARL6IP4	0	0	0	0	0.644373865
ARL6IP5	0.112565931	0.13101652	-1.401354499	1.430544355	0.139930777
ARNT	0	0	0	0	0
ARPC1B	0	0.17607286	0.418805337	0	-0.336516044
ARPC2	1.981205414	0.286018313	0.248533942	0	0.838698198
ARPC3	1.687031051	0.347574644	0.345702197	0	0.797629503
ARPC5	0	0.303431486	1.399121755	0	0.413593906
ARPC5L	-0.177413759	0.683435263	0.674933091	0	0.448032233
ARPIN	0	0	0	0	0
ARPP19	0.059465968	0	-0.478399107	-0.117912531	-0.100554392
ARSA	0	1.612997252	0	0	0
ARVCF	0	0	0	0	0
ASAH1	0	0	0.801589441	-3.061697006	0
ASAP1	0	-0.636653676	0	0	0
ASL	0	0	0	0	0
ASNA1	0.497737141	0.412735932	0.300214099	0	1.143163609
ASNS	1.523157327	0.387248421	0.484937597	0	1.014813418
ASNSD1	-0.098459192	-0.603047478	-0.497707441	-0.441844376	-0.234053202
ASPH	0.739707217	0.661053308	-0.026551213	0	-0.877917801
ASPSCR1	0	0	0.156479628	0	0
ASRGL1	0	-0.499995394	-0.154412319	0	0
ASS1	0	0	0.021682356	-4.304155755	0
ATAD3A	-0.275638034	-0.086658779	-1.075517406	-0.297120414	-0.0143306
ATF1	-0.024405625	0	-1.604049241	-0.85324468	-0.107096577
ATF2	0.232791214	0	0	1.656144915	-0.155759738
ATF7	0	0	0	0	-1.203471993
ATF7IP	0	0	0	-1.367315983	0
ATG3	0.078193057	-0.221433817	0.348738193	0.524754015	0.117217993
ATG7	0	-0.707198846	0	0	0
ATG9A	0	0	0	0	0
ATIC	0.127769896	0.288014609	0.447651237	0	1.1059192
ATL3	0	1.893170224	0.44489847	0	0
ATN1	-0.258451502	0	-1.530685487	0.061999666	-0.056563308
ATOX1	0	0	1.543655231	0	0
ATP1A1	0.166592759	-0.276175215	0.30615251	0.428610848	-0.650929277
ATP1B1	0	0	0.141002875	0.506461887	0
ATP1B3	0	-0.064466023	0.499556783	-0.381176906	0
ATP2A2	0	-0.469733132	0	0	0
ATP2B1	0	0.195766283	0	0	0
ATP2B4	0	0.896241567	1.027514239	0	0
ATP5A1	0.209798348	0.280132609	0.081400315	0.541819882	0.430510447
ATP5B	0.128921308	0.282745328	0.135711583	0.200235508	1.156608404
ATP5D	-0.043406924	-0.478726342	-0.279713917	-0.005381834	-0.155892255
ATP5H	0.385856659	-0.353522476	-0.103065346	0.146837322	0.210607848
ATP5I	0	0	2.05442094	2.078972075	0
ATP5J	-0.081722425	-0.459805466	-0.365187292	0.052454053	-0.149697572
ATP5L	0	1.538401488	2.071011499	0	0
ATP5O	-0.336244146	0.333617092	1.987017281	0	-0.668591119
ATP6AP1	0.701286845	0	0	0	-1.937420835
ATP6V0D1	0	1.3094249	0	0	0
ATP6V1A	0.113680174	0.346813085	0.853018784	2.091808752	0
ATP6V1B2	0.655801887	0.266283355	0.222363385	-0.890573394	-0.812342543
ATP6V1C1	0	-0.055791161	0	0	0
ATP6V1E1	-0.80352549	0.022184291	0.670544889	-0.359096323	0.988210989
ATP6V1F	0.181729493	-0.323249245	-0.184628666	0.192339613	0.184743422
ATP6V1H	0	0.065552685	-0.816944071	0	0
ATPIF1	0.848363755	0	-0.810989717	1.100837035	-0.116207561
ATRX	-1.079049081	0	0.96088837	0	0
ATXN10	0	0.024599828	0.087612558	0	0
ATXN2	0	1.235765988	0	0.96219205	-0.49356939
ATXN2L	-0.383940691	-0.451022094	-0.150977251	-0.321692088	-0.072046468
AVEN	-0.116298054	0	-0.077712719	-1.482421751	-0.492113395
AXL	0	-0.509296616	0	0	-0.314183218
BABAM1	0	0	1.208789846	0	1.303197692
BAD	-0.999138031	0.03118914	-0.3930252	0.153164656	0.451262011
BAG1	-1.406526716	0	0	0.808115997	-1.557939561
BAG2	0.136896559	-0.272280989	0.015955451	0.600449452	0.143387664
BAG3	-0.328540996	-0.701736671	-0.338814191	0.019332219	-0.140007329
BAG4	-0.192514979	0	-0.746762324	0	0.086752732
BAG5	0	0.026464361	0	0	0
BAG6	0.86533715	-0.108306978	0.258400662	0.908682395	-0.33297301
BAIAP2L1	0	-0.169219031	0.560721058	0	0
BANF1	-0.249204826	0.12992712	0.031962123	0.760730281	0.128574541
BASP1	0	-0.411635974	-0.044437839	0	0
BAX	0.127010744	-0.077720637	-0.122947982	0.48854706	0.528856109
BCAM	-0.074370463	-0.384519665	-0.34929334	1.969601154	0
BCAP31	0	0	-0.246177655	0.159402081	0.749652676
BCAR1	0	-0.050992792	-0.109719654	-0.903598853	0
BCAS2	0.00894701	0.149030024	0.219364399	0.423243791	0.210988801
BCAT1	0	-0.243037379	1.553437164	0	0
BCAT2	0	0.567034137	0	0	1.982613998
BCCIP	0.500694383	-0.166813223	1.784285603	0	0.42892501
BCL10	0.133135601	-0.095925161	1.347204948	0	0.146198392
BCL2L1	0	0	-1.232901451	0	0
BCL2L13	0	0.373844744	0	0.383740202	-1.747935774
BCL7C	1.930736451	0.56021399	0.034860369	1.694895409	-2.263757864
BCL9	-0.25347162	0	-0.707496869	0.86368646	0.665665403
BCL9L	0	-0.525746155	-0.208622752	0.378106439	0
BCLAF1	0.21170539	-0.404223828	-0.221084336	0.308267385	-0.100990388
BICC1	0	-0.087310584	-0.567611106	0	0
BICD2	0	-1.898528608	0.645542857	0	0.383887936
BID	-0.878761135	0.25019945	-0.086400257	0.299301638	0.238517672
BIN1	-0.093802667	-0.716878159	-0.455704068	0	-0.293632854
BLM	-0.472833932	0	0	0	0
BLMH	0	0	0.327752132	0	0
BLOC1S2	-0.886475264	1.244881435	-0.263046761	0.025261294	0.168399387
BLOC1S3	1.426811683	0	-1.397084654	2.448899673	-0.09215444
BLVRA	-2.331646259	0.876991137	1.180913468	0	1.561687851
BLVRB	0	0	0.397025257	0	0
BMP2K	0	1.461554438	-1.112154055	0	1.612608208
BMS1	0	0	-0.821965486	0	0
BOD1	1.600427718	0	0.246812161	0.168825002	-0.265933245
BOD1L1	-0.207501277	-0.710050468	-0.368422394	-0.040316669	-0.249529328
BOLA1	-0.930728321	-2.446290154	0	-1.541715535	0
BOLA2	-1.478886419	0.145467295	0.092478437	0.543622418	0.365688695
BOP1	0	1.736747337	0	-1.458907075	0
BORA	-0.539516109	0	0	0	0
BPNT1	0	1.04949794	0	0	0
BRD3	0	0	0	0	0.856946081
BRD4	-0.827847454	-0.802136643	-0.314679456	0.354005996	-0.343374093
BRD7	0	0	-0.797166608	0	1.178638867
BRK1	0	1.308318215	0	0	0
BROX	0	1.308905555	0	0	0
BSDC1	-0.084799485	-0.389440355	-0.306469446	-1.105789653	-0.02601143
BSG	-0.330112859	0.10082485	-0.490405812	1.095447602	0.23123113
BTF3	0	-0.350382542	-2.017261236	1.333906082	-0.031654283
BTF3L4	0.082846352	-0.573469883	-0.324375987	-0.018824355	-0.116293121
BUB3	0.831840406	0.657646176	2.245117347	0	1.263650445
BUD13	0.236783243	1.14480268	-0.555156682	0.003855186	-0.136124975
BYSL	1.248682384	-0.182126459	-1.066668665	0	0
BZW1	-1.995526404	0.130526352	0.732657518	0	1.456658972
BZW2	0.170465242	0.098793086	0.20638225	-2.491260094	0.993928542
C11orf57	0	0	0	-0.427977608	0
C11orf68	0	-0.128449	0	0	0
C11orf84	-0.47245177	-0.992414454	-0.038578048	-2.200318894	0.02034372
C12orf10	0.872875822	0.78669195	-1.689539945	0	0
C12orf29	0	0	0	0	0
C12orf43	0.019568608	-0.808095351	0	-0.222473372	-0.207658467
C12orf45	0.101086604	-2.223423374	-0.739836915	-0.809144938	-0.153717135
C12orf57	0.147185379	-0.399604598	-0.245178418	0.42540158	0.223060024
C14orf166	1.758748355	0.984262177	0.397243276	0	1.861537245
C15orf40	0	0	0	1.168113483	0.410581693
C15orf52	0	-1.4050161	-0.058782034	1.063720528	0
C18orf25	-0.38637466	2.036152017	-0.827888907	-0.264029964	-0.122490676
C19orf25	0.775558326	-0.532530347	-0.179409958	-0.099146815	-0.222992192
C19orf66	0	-0.667540897	0	0	0.729488182
C1orf122	-2.433865935	0	-0.057496863	-0.138227658	0.238062239
C1orf123	-0.15607192	-0.192835007	0.368983406	0	0.897919115
C1orf131	2.336504955	0	-1.622883269	-0.552274289	-0.040747404
C1orf198	0.912162686	0	-0.816271114	-0.189063261	-0.006331942
C1orf226	0	0	0	0	0
C1orf50	0	0	0	-2.374839828	1.325971509
C1orf52	2.045967313	1.603406488	-0.329525686	-0.984365308	-0.32577961
C1QBP	0.03463343	-0.542361959	-0.36077621	0.135669218	0.066946081
C21orf33	2.084960719	0	0	0	0
C2orf49	0.000980999	0	0	0.278884345	-0.348537286
C5orf51	0	0	0	-1.981205414	0
C6orf132	0	0	-0.410807346	0.411503359	0
C9orf40	1.706622488	0	1.477603658	0	0.563150722
C9orf64	0	0	0	0	-1.145776145
C9orf78	-0.145376675	-1.264470445	-0.501231764	-0.578502629	-0.128938568
CA2	0	0	0	0	0
CAAP1	-0.192145403	-2.748379442	-0.282265787	-0.224609236	-0.026928502
CAB39	0	1.21221227	2.277745961	0	0
CACNA2D1	0	-2.067022419	0	0	0
CACUL1	0	0	0	-2.094706727	0
CACYBP	0.149842355	0.25659044	0.351582103	1.650424491	0.822501218
CAD	-0.340696656	0.341597231	0.649499943	0	1.445821768
CADM1	0.097740077	0.788363579	0	-0.131996486	0
CADM4	0	0	-0.452322679	0	0
CADPS2	0	0	0	-0.795870411	-0.860239373
CALB2	0	0	0	0	0.400004863
CALCOCO1	0	0	0	0	0
CALCOCO2	-1.151808939	0	0	0	1.36946653
CALML3	1.577318466	0	0	0.572726407	-0.193246725
CALR	0.171080038	-0.130339171	0.047165347	0.583326817	0.339382753
CALU	0	-0.394532349	1.3157301	2.403145272	0.058586113
CAMSAP2	0	0	0	1.154620186	-0.559433931
CAMSAP3	0	0	0	0	0
CAND1	-0.781877623	0.252045029	0.335429	0.788470528	1.336514025
CANX	0.028871989	0.056940757	0.323744982	0.669320729	0.536683176
CAP1	-1.117287951	0.264250014	0.332858803	0	0.769610313
CAP2	0	0.211495797	0.478963807	0	0
CAPG	0	0.261911528	0.258816254	0	0.603015687
CAPN1	0	0.445446016	0.420162598	0	1.601370683
CAPN2	0	0.70246185	0.502387233	0	0
CAPNS1	-0.984377063	0.371928853	0.739205135	1.403086397	0.485642765
CAPRIN1	-0.202301358	-0.733218518	-0.293162013	-0.181492897	0.169206201
CAPS	0	0	-0.096614609	0.875902693	0
CAPZA1	-0.676361617	0.010441339	0.150658788	0.627925147	0.423272046
CAPZA2	1.01921142	0.20100959	0.216579656	0	0
CAPZB	0.085127748	0.240967751	0.230279328	-1.045385164	1.17012164
CARHSP1	0.164642889	-0.435242323	-0.066166036	0.292262524	0.141297427
CARS	-1.753041614	0.537126655	1.67861779	0	0.88869257
CARS2	0	1.293024753	-1.668187479	0	0
CASC3	3.550507885	0.264623766	-0.632549761	0.654250659	0.559367057
CASC4	0	0	0	0.693636898	0
CASK	0	0.852537778	0	0	0
CASP1	0	-0.517572563	0	0	0
CASP3	0	-0.922058414	1.845791038	0	0
CAST	-0.134135203	-0.479862223	-0.460941467	-0.071161579	-0.084118322
CAT	0.191947152	0.484421711	0	0	0.350852048
CAV1	0	-0.371191149	-1.223703721	-0.031648427	0
CBFB	-1.378233867	0.950254395	0	0	-1.650115777
CBL	0	1.592822443	-0.127622512	0	-1.075919723
CBR1	-0.714551919	0.262842481	0.210789437	0	1.085263144
CBS	0.204193428	0.756414372	0.599486188	0	0
CBX1	1.47150462	0	0	0	0
CBX3	-0.007877856	-0.522618881	-0.108197831	0.202994927	0.090377644
CBX5	-0.016666367	-1.237386036	-0.142668737	0.572468654	0
CC2D1A	0.478625546	-1.192117904	-0.049691173	-0.070639524	-0.471774415
CC2D1B	0	1.133127311	1.942671551	0	-1.570185283
CCAR1	-0.720252398	1.565588784	0.404534634	1.434064045	0.401291175
CCAR2	0.143016119	0.230823119	0.976665309	0	-0.000841186
CCDC102A	1.857150497	0	0	0	0
CCDC117	-0.108785578	0	0	-0.179713266	0.324080033
CCDC12	-0.064138575	0	0	-0.713878905	0.157349311
CCDC124	-0.053957024	-0.658595847	-0.386383208	0.029858447	-0.23277149
CCDC137	0.295973885	0	-0.679577139	0.13988265	-0.288698346
CCDC174	0.529198775	0	0	0	-1.187362805
CCDC186	0	0	0.65521519	0.181610693	0
CCDC28A	0	0	0	0	0
CCDC43	-0.077976818	-0.443739955	-0.179867887	-0.092717326	0.614377887
CCDC47	0	-0.23078103	0	0	0
CCDC50	-0.127533369	-0.708547847	-0.379060067	-0.234160699	-0.221698523
CCDC58	0.016590226	-0.401409726	-0.236828464	0.618453801	-0.050030705
CCDC59	0	0	0	0	2.112394246
CCDC6	-0.288137523	0.555632879	0.083347905	0.565017167	0.004255358
CCDC80	0	-0.293039608	0	0	0
CCDC85B	0	0	0	0	0
CCDC85C	-1.733085323	0	-0.876314776	0.429653536	-0.173746696
CCDC86	-0.074634854	0.284470461	-0.376286836	-0.349211661	0.016737217
CCDC9	-0.031819021	-0.66589969	-0.376692281	0.05706082	-0.121461389
CCDC91	-0.844147583	-1.698267808	0	0	-0.342289399
CCDC97	0.910809375	0	-1.227181441	0	0.221833915
CCNB1	0	0	-1.464993708	0	0
CCS	-0.013609096	-0.223999847	0.004662317	1.077848424	0.358371953
CCT2	0.136949962	0.175104297	0.27541143	0.65894682	0.743094666
CCT3	0.140329309	0.118063757	0.272067309	0	1.04661346
CCT4	0.235466087	0.073423216	0.233680697	1.561098933	0.971619103
CCT5	0.049623813	0.11304494	0.281599706	0.976234842	0.868296278
CCT6A	0.296781584	0.206320506	0.349330418	-1.111268572	0.727937579
CCT7	0.200690933	0.14807065	0.230109018	5.260398382	1.056922575
CCT8	0.180821432	0.170561303	0.308097779	-0.499891681	0.916422252
CD109	0	0.089809805	0	0	0
CD276	0.450123985	0	0	0	0
CD2AP	-0.103577096	-0.51974092	-0.077088062	0.421277594	-0.179347389
CD2BP2	0.139392613	-1.028711885	-0.220371776	-0.03911463	0.040634585
CD36	-2.098874644	0	0	0	0
CD3EAP	-0.335990924	2.117677104	-0.206501595	-0.068906206	-1.060738543
CD44	-1.74633624	-0.327216991	-0.0797614	0	-0.119248445
CD47	0	2.585924315	-0.968941872	0	0
CD63	1.067614901	0.237197335	0	0.193306908	1.244909563
CD82	0	0	0	0	0
CD99	0	0.928929995	0	0	-0.225240827
CDC25C	0	0	0	0	0
CDC26	-0.121311334	0	-1.031509357	-0.788678194	-0.088873222
CDC37	0.021110224	0.164016294	0.368290657	0.875475008	0.43784012
CDC42	0	0.42188255	0.387313075	3.450783233	-0.556488572
CDC42EP1	-1.461219142	0.145464967	-0.263447953	1.473684364	0.486426642
CDC42EP2	0	-0.037008122	0	0	0.530510004
CDC42EP3	0	-2.123615243	0	-0.547976892	0
CDC42EP4	-0.436977232	-0.634302405	-0.191783311	0	-0.869553182
CDC42EP5	0	0	-0.333297655	0	-0.00528006
CDC5L	0.010423708	-0.196188255	-0.0228681	0.651973622	0.413484112
CDC73	0	0	0	0	0
CDCA2	0	0	0	0	0
CDCA3	-0.260597895	-1.657338368	-0.818126938	-0.575188531	-2.632575171
CDCP1	0	0.425974262	0.889584144	0	1.513346286
CDH1	0	0	-0.263925464	0.486297589	0
CDH13	0	-0.435206943	0	0	0
CDH17	0	0	0	0	0
CDH2	0	-0.382301221	0	0	0
CDH3	0	0	-0.278195295	-0.848205558	0
CDH6	0	-0.042558116	-0.48325948	0	0
CDK1	-1.488764779	0.151081578	0.346143878	0	-0.89331677
CDK12	-0.161720306	-1.597822199	-0.4877412	0.594454189	-0.365499849
CDK5	0	1.423655409	0	0	0
CDK5RAP3	0.208417942	0.030548766	-1.859085339	2.363747504	0
CDK6	0	-0.375040816	0	0	0
CDKN1B	1.01414862	0	0	0.911040064	0
CDKN1C	0	2.215073213	0	0	0
CDKN2A	0	0	-0.075485438	0	0
CDKN2AIP	0	0	0	0.479545439	-0.313361986
CDKN2AIPNL	0.733700437	0	0	0	0.434427804
CDV3	-0.198912671	-0.665877892	-0.47320364	-0.394609156	-0.163274914
CENPF	-0.311968711	0	-0.657438072	0.207993975	0.081239395
CEP131	0	0	0	0	0
CEP170	-0.216197123	-0.694652458	-0.116103628	-0.289228922	0
CEP170B	0	0	-1.214212454	0	0
CEP192	0	0	0	0	-0.058879206
CEP250	0	0	0	0	0
CEP85	0	0	-0.339702761	1.762546991	-0.430154117
CES2	0	1.224365741	0	0	0
CETN2	-0.036049876	-0.46556937	-0.21221988	-0.031368696	-0.149078614
CETN3	0	0	0	-1.897133762	-0.20469557
CFDP1	-0.197962522	-0.347899094	-0.278432958	-0.106970663	-0.061297617
CFL1	0.053257673	0.002775052	0.16707625	1.207482711	-0.037073824
CFL2	0.027540754	0.010404576	0.347528665	0.941400234	1.127057414
CGGBP1	0	0.79161543	0	0	0
CGN	-0.158528513	-1.768477787	-0.404700793	0.025162785	-0.066861823
CHAF1A	0	0	0	0	-2.059719211
CHAF1B	0	0	0	0	-2.35401794
CHAMP1	-0.24997774	0	-1.152976349	0	-0.150745888
CHCHD3	0.108168075	-0.814103526	-0.807625372	0.634587326	0
CHCHD4	1.572926516	0	-1.152132085	0	-0.744418933
CHCHD5	0	-1.472715004	0	0	0
CHCHD6	-0.417205119	0	0	0	0
CHD4	0	0.549576941	2.123066471	0	0
CHERP	-0.082061331	-0.269540435	-0.670596044	-0.377593978	-0.046713496
CHMP1A	-0.223007012	-0.332766658	-0.521865588	0.115772629	-0.191911883
